SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	9
Calculation started : 	12-8-2026 at 15:45:06

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.430000	   -2.97377535e+01	        5.22793784e+00	    3.50942307e+01	    4.23526131e-02	    0.00000000e+00	    4.86787620e+00	    3.17709025e-01	    4.23526131e-02	    0.00000000e+00	    0.00000000e+00
   0.435000	   -2.97319405e+01	        5.23276116e+00	    3.50942307e+01	    4.27724133e-02	    0.00000000e+00	    4.86978274e+00	    3.20206011e-01	    4.27724133e-02	    0.00000000e+00	    0.00000000e+00
   0.440000	   -2.97251777e+01	        5.23858323e+00	    3.50942307e+01	    4.32771880e-02	    0.00000000e+00	    4.87209299e+00	    3.23213053e-01	    4.32771880e-02	    0.00000000e+00	    0.00000000e+00
   0.445000	   -2.97171420e+01	        5.24561757e+00	    3.50942307e+01	    4.38847815e-02	    0.00000000e+00	    4.87489423e+00	    3.26838560e-01	    4.38847815e-02	    0.00000000e+00	    0.00000000e+00
   0.450000	   -2.97076394e+01	        5.25412125e+00	    3.50942307e+01	    4.46166937e-02	    0.00000000e+00	    4.87829096e+00	    3.31213600e-01	    4.46166937e-02	    0.00000000e+00	    0.00000000e+00
   0.455000	   -2.96963555e+01	        5.26440460e+00	    3.50942307e+01	    4.54989076e-02	    0.00000000e+00	    4.88240843e+00	    3.36497265e-01	    4.54989076e-02	    0.00000000e+00	    0.00000000e+00
   0.460000	   -2.96829237e+01	        5.27684785e+00	    3.50942307e+01	    4.65627455e-02	    0.00000000e+00	    4.88740276e+00	    3.42882342e-01	    4.65627455e-02	    0.00000000e+00	    0.00000000e+00
   0.465000	   -2.96669335e+01	        5.29190626e+00	    3.50942307e+01	    4.78459649e-02	    0.00000000e+00	    4.89345765e+00	    3.50602644e-01	    4.78459649e-02	    0.00000000e+00	    0.00000000e+00
   0.470000	   -2.96477033e+01	        5.31013496e+00	    3.50942307e+01	    4.93940631e-02	    0.00000000e+00	    4.90079888e+00	    3.59942022e-01	    4.93940631e-02	    0.00000000e+00	    0.00000000e+00
   0.475000	   -2.96246320e+01	        5.33220770e+00	    3.50942307e+01	    5.12615859e-02	    0.00000000e+00	    4.90970230e+00	    3.71243811e-01	    5.12615859e-02	    0.00000000e+00	    0.00000000e+00
